	order_s_in_text	sentence	word	tf_idf
220	221	Радецкий и Скобелев знали его лично и относились к нему с исключительным уважением	['радецкий', 'скобелев', 'знать', 'лично', 'относиться', 'исключительный', 'уважение']	[0.42937277790861145, 0.386368492813757, 0.17853351281254126, 0.3433642077189025, 0.386368492813757, 0.36121259866294536, 0.42937277790861145]
221	222	Именно про него и сказал как-то Скобелев: «Я знаю одного офицера, который гораздо храбрее меня, — это майор Аносов» С войны он вернулся почти оглохший благодаря осколку гранаты, с больной ногой, на которой были ампутированы три отмороженных, во время балканского перехода, пальца, с жесточайшим ревматизмом, нажитым на Шипке	['именно', 'сказать', 'как-то', 'скобелев', 'знать', 'офицер', 'гораздо', 'храбрый', 'майор', 'аносов', 'война', 'вернуться', 'оглохнуть', 'благодаря', 'осколок', 'гранат', 'больной', 'нога', 'ампутировать', 'отморозить', 'время', 'балканский', 'переход', 'палец', 'жестокий', 'ревматизм', 'нажитое', 'шипка']	[0.07508998065601202, 0.04144683590521513, 0.08237998003658077, 0.09659212320343925, 0.044633378203135315, 0.07162890876286715, 0.08584105192972563, 0.09030314966573634, 0.10734319447715286, 0.06087783748915354, 0.07716112161950084, 0.07326310485431985, 0.10734319447715286, 0.09659212320343925, 0.09659212320343925, 0.08237998003658077, 0.09030314966573634, 0.06755950332333727, 0.10734319447715286, 0.10734319447715286, 0.05680843204962366, 0.10734319447715286, 0.09659212320343925, 0.07716112161950084, 0.09659212320343925, 0.09659212320343925, 0.10734319447715286, 0.09030314966573634]
222	223	Его хотели было по истечении двух лет мирной службы упечь в отставку, но Аносов заупрямился	['хотеть', 'истечение', 'год', 'мирный', 'служба', 'упечь', 'отставка', 'аносов', 'заупрямиться']	[0.18939771663292213, 0.33395660504003116, 0.19448188225077492, 0.33395660504003116, 0.2474953549974041, 0.33395660504003116, 0.33395660504003116, 0.18939771663292213, 0.33395660504003116]
223	224	Тут ему очень кстати помог своим влиянием начальник края, живой свидетель его хладнокровного мужества при переправе через Дунай	['очень', 'кстати', 'помочь', 'свой', 'влияние', 'начальник', 'край', 'живой', 'свидетель', 'хладнокровный', 'мужество', 'переправа', 'дунай']	[0.11242626161615421, 0.18488841954094754, 0.19449909158773984, 0.09920046936349856, 0.23120072656617544, 0.20804457305356147, 0.19449909158773984, 0.17134293807512593, 0.19449909158773984, 0.23120072656617544, 0.23120072656617544, 0.20804457305356147, 0.20804457305356147]
224	225	В Петербурге решили не огорчать заслуженного полковника, и ему дали пожизненное место коменданта в г	['петербург', 'решить', 'огорчать', 'заслужить', 'полковник', 'дать', 'пожизненный', 'место', 'комендант', 'г']	[0.2403549454032318, 0.2528488190640618, 0.30056094453602805, 0.30056094453602805, 0.21025194583683368, 0.21025194583683368, 0.30056094453602805, 0.18916660930534437, 0.20513669359209558, 0.21605114053460237]
225	226	К	[]	[]
226	227	— должность более почетную, чем нужную в целях государственной обороны В городе его все знали от мала до велика и добродушно посмеивались над его слабостями, привычками и манерой одеваться	['должность', 'почётный', 'нужный', 'цель', 'государственный', 'оборона', 'город', 'всё', 'знать', 'маленький', 'большой', 'добродушно', 'посмеиваться', 'слабость', 'привычка', 'манера', 'одеваться']	[0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.10938125939306131, 0.0726327902187139, 0.07351379939339935, 0.11127447606196728, 0.0867135604892956, 0.17680055560942826, 0.17680055560942826, 0.1487345994494481, 0.17680055560942826, 0.17680055560942826, 0.1487345994494481]
227	228	Он всегда ходил без оружия, в старомодном сюртуке, в фуражке с большими полями и с громадным прямым козырьком, с палкою в правой руке, со слуховым рожком в левой и непременно в сопровождении двух ожиревших, ленивых, хриплых мопсов, у которых всегда кончик языка был высунут наружу и прикушен	['ходить', 'оружие', 'старомодный', 'сюртук', 'фуражка', 'больший', 'поле', 'громадный', 'прямой', 'козырёк', 'палка', 'правый', 'рука', 'слуховой', 'рожок', 'левый', 'непременно', 'сопровождение', 'ожиреть', 'ленивый', 'хриплый', 'мопс', 'кончик', 'язык', 'высунуть', 'наружу', 'прикусить']	[0.07428183130964001, 0.10016960924801108, 0.11131886834667705, 0.11131886834667705, 0.11131886834667705, 0.06886968184007564, 0.10016960924801108, 0.08543109040830599, 0.10016960924801108, 0.11131886834667705, 0.10016960924801108, 0.08543109040830599, 0.052390549567917825, 0.10016960924801108, 0.09364771076446732, 0.09364771076446732, 0.10016960924801108, 0.10016960924801108, 0.11131886834667705, 0.11131886834667705, 0.11131886834667705, 0.09364771076446732, 0.11131886834667705, 0.09364771076446732, 0.11131886834667705, 0.11131886834667705, 0.11131886834667705]
228	229	Если ему во время обычной утренней прогулки приходилось встречаться со знакомыми, то прохожие за несколько кварталов слышали, как кричит комендант и как дружно вслед за ним лают его мопсы Как многие глухие, он был страстным любителем оперы, и иногда, во время какого-нибудь томного дуэта, вдруг на весь театр раздавался его решительный бас: «А ведь чисто взял до, черт возьми	['время', 'взять', 'обычный', 'утренний', 'прогулка', 'приходиться', 'встречаться', 'знакомый', 'прохожий', 'несколько', 'квартал', 'слышать', 'кричать', 'комендант', 'дружно', 'вслед', 'лаять', 'мопс', 'многие', 'глухой', 'страстный', 'любитель', 'опера', 'какой-нибудь', 'томный', 'дуэт', 'весь', 'театр', 'раздаваться', 'решительный', 'бас', 'чисто', 'черта']	[0.09089349127939785, 0.137345683087561, 0.0858745555817223, 0.0858745555817223, 0.0858745555817223, 0.06590398402926462, 0.0772736985627514, 0.058610483883455876, 0.0858745555817223, 0.055040805694647296, 0.0858745555817223, 0.06590398402926462, 0.0686728415437805, 0.058610483883455876, 0.0858745555817223, 0.07224251973258908, 0.0858745555817223, 0.07224251973258908, 0.0858745555817223, 0.0858745555817223, 0.0686728415437805, 0.0858745555817223, 0.0858745555817223, 0.06590398402926462, 0.0858745555817223, 0.0858745555817223, 0.038918764824974084, 0.06590398402926462, 0.0772736985627514, 0.0772736985627514, 0.0772736985627514, 0.0772736985627514, 0.06590398402926462]
229	230	Точно орех разгрыз»	['точно', 'орех', 'разгрызть']	[0.5417994012162248, 1.0018698151200933, 1.0018698151200933]
230	231	По театру проносился сдержанный смех, но генерал даже и не подозревал этого: по своей наивности он думал, что шепотом обменялся со своим соседом свежим впечатлением По обязанности коменданта он довольно часто, вместе со своими хрипящими мопсами, посещал главную гауптвахту, где весьма уютно за винтом, чаем и анекдотами отдыхали от тягот военной службы арестованные офицеры	['свой', 'театр', 'проноситься', 'сдержать', 'смех', 'генерал', 'подозревать', 'наивность', 'думать', 'шёпотом', 'обменяться', 'сосед', 'свежий', 'впечатление', 'обязанность', 'комендант', 'довольно', 'часто', 'вместе', 'хрипеть', 'мопс', 'посещать', 'главный', 'гауптвахта', 'весьма', 'уютный', 'винт', 'чаемый', 'анекдот', 'отдыхать', 'тягота', 'военный', 'служба', 'арестовать', 'офицер']	[0.10456265689666064, 0.062341606514169236, 0.08123268771244002, 0.08123268771244002, 0.06833751866596265, 0.049446437467691874, 0.08123268771244002, 0.08123268771244002, 0.051126110623066046, 0.08123268771244002, 0.08123268771244002, 0.08123268771244002, 0.06496079605492751, 0.062341606514169236, 0.08123268771244002, 0.05544234961948529, 0.06020157283720641, 0.062341606514169236, 0.06496079605492751, 0.08123268771244002, 0.06833751866596265, 0.07309674188368377, 0.06833751866596265, 0.06833751866596265, 0.06833751866596265, 0.07309674188368377, 0.06833751866596265, 0.06833751866596265, 0.07309674188368377, 0.08123268771244002, 0.08123268771244002, 0.06496079605492751, 0.06020157283720641, 0.08123268771244002, 0.054205660685412986]
231	232	Он внимательно расспрашивал каждого: «Как фамилия	['внимательно', 'расспрашивать', 'каждый', 'фамилия']	[0.6008873635080795, 0.7514023613400701, 0.44379013099550163, 0.5401278513365059]
232	233	Кем посажен	['посадить']	[3.0056094453602804]
233	234	На сколько	['сколько']	[2.227458194976637]
234	235	За что	[]	[]
235	236	» Иногда совершенно неожиданно хвалил офицера за бравый, хотя и противозаконный поступок, иногда начинал распекать, крича так, что его бывало слышно на улице	['совершенно', 'неожиданно', 'хвалить', 'офицер', 'бравый', 'хотя', 'противозаконный', 'поступок', 'начинать', 'распекать', 'кричать', 'бывало', 'слышный', 'улица']	[0.17168210385945126, 0.1931842464068785, 0.21468638895430572, 0.1432578175257343, 0.21468638895430572, 0.1432578175257343, 0.21468638895430572, 0.17168210385945126, 0.18060629933147268, 0.21468638895430572, 0.17168210385945126, 0.18060629933147268, 0.21468638895430572, 0.17168210385945126]
236	237	Но, накричавшись досыта, он без всяких переходов и пауз осведомлялся, откуда офицеру носят обед и сколько он за него платит	['накричаться', 'досыта', 'всякий', 'переход', 'пауза', 'осведомляться', 'откуда', 'офицер', 'носить', 'обед', 'сколько', 'платить']	[0.25046745378002333, 0.25046745378002333, 0.21070734922005147, 0.22538162080802493, 0.25046745378002333, 0.25046745378002333, 0.25046745378002333, 0.16713412044669002, 0.18004261711216862, 0.17520995486402804, 0.18562151624805306, 0.22538162080802493]
237	238	Случалось, что какой-нибудь заблудший подпоручик, присланный для долговременной отсидки из такого захолустья, где даже не имелось собственной гауптвахты, признавался, что он, по безденежью, довольствуется из солдатского котла	['случаться', 'какой-нибудь', 'заблудший', 'подпоручик', 'прислать', 'долговременный', 'отсидка', 'захолустье', 'иметься', 'собственный', 'гауптвахта', 'признаваться', 'безденежье', 'довольствоваться', 'солдатский', 'котёл']	[0.1690362156060187, 0.14416496506401635, 0.18785059033501753, 0.18785059033501753, 0.14416496506401635, 0.18785059033501753, 0.18785059033501753, 0.18785059033501753, 0.18785059033501753, 0.1580305119150386, 0.1580305119150386, 0.18785059033501753, 0.18785059033501753, 0.18785059033501753, 0.18785059033501753, 0.18785059033501753]
238	239	Аносов немедленно распоряжался, чтобы бедняге носили обед из комендантского дома, от которого до гауптвахты было не более двухсот шагов В г	['аносов', 'немедленно', 'распоряжаться', 'бедняга', 'носить', 'обед', 'комендантский', 'дом', 'гауптвахта', 'двести', 'шаг', 'г']	[0.1420482874746916, 0.25046745378002333, 0.25046745378002333, 0.25046745378002333, 0.18004261711216862, 0.17520995486402804, 0.22538162080802493, 0.1420482874746916, 0.21070734922005147, 0.21070734922005147, 0.18562151624805306, 0.18004261711216862]
239	240	К	[]	[]
240	241	он и сблизился с семьей Тугановских и такими тесными узами привязался к детям, что для него стало душевной потребностью видеть их каждый вечер	['сблизиться', 'семья', 'тугановский', 'тесный', 'узы', 'привязаться', 'ребёнок', 'стать', 'душевный', 'потребность', 'видеть', 'каждый', 'вечер']	[0.23120072656617544, 0.18488841954094754, 0.1661931850266172, 0.23120072656617544, 0.23120072656617544, 0.23120072656617544, 0.14303703151400327, 0.14551277638872645, 0.23120072656617544, 0.19449909158773984, 0.1114851495840764, 0.13655080953707743, 0.17134293807512593]
241	242	Если случалось, что барышни выезжали куда-нибудь или служба задерживала самого генерала, то он искренно тосковал и не находил себе места в больших комнатах комендантского дома	['случаться', 'барышня', 'выезжать', 'куда-нибудь', 'служба', 'задерживать', 'генерал', 'искренно', 'тосковать', 'находить', 'место', 'больший', 'комната', 'комендантский', 'дом']	[0.18030529664641995, 0.16856587937604117, 0.2003739630240187, 0.2003739630240187, 0.14849721299844246, 0.2003739630240187, 0.12196787908697328, 0.2003739630240187, 0.18030529664641995, 0.18030529664641995, 0.12611107287022957, 0.12396542731213617, 0.1440340936897349, 0.18030529664641995, 0.11363862997975327]
242	243	Каждое лето он брал отпуск и проводил целый месяц в имении Тугановских, Егоровском, отстоявшем от К	['каждый', 'лето', 'брать', 'отпуск', 'проводить', 'целый', 'месяц', 'имение', 'тугановский', 'егоровский', 'отстоять']	[0.1613782294529097, 0.20249619954333065, 0.20249619954333065, 0.24587085906329992, 0.27323722230548003, 0.18232813139638912, 0.20969449463856923, 0.24587085906329992, 0.1964101277587294, 0.24587085906329992, 0.27323722230548003]
243	244	на пятьдесят верст Он всю свою скрытую нежность души и потребность сердечной любви перенес на эту детвору, особенно на девочек	['пятьдесят', 'верста', 'весь', 'свой', 'скрытый', 'нежность', 'душа', 'потребность', 'сердечный', 'любовь', 'перенести', 'детвора', 'особенно', 'девочка']	[0.18060629933147268, 0.1931842464068785, 0.09729691206243521, 0.09211472155182007, 0.21468638895430572, 0.18060629933147268, 0.1306798704503285, 0.18060629933147268, 0.21468638895430572, 0.0994875420457532, 0.18060629933147268, 0.21468638895430572, 0.18060629933147268, 0.16475996007316154]
244	245	Сам он был когда-то женат, но так давно, что даже позабыл об этом	['когда-то', 'женатый', 'давно', 'позабыть']	[0.7514023613400701, 0.6761448624240748, 0.5128417339802389, 0.7514023613400701]
245	246	Еще до войны жена сбежала от него с проезжим актером, пленясь его бархатной курткой и кружевными манжетами	['ещё', 'война', 'жена', 'сбежать', 'проезжий', 'актёр', 'плениться', 'бархатный', 'куртка', 'кружевной', 'манжета']	[0.1364054060945795, 0.1964101277587294, 0.20249619954333065, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003]
246	247	Генерал посылал ей пенсию вплоть до самой ее смерти, но в дом к себе не пустил, несмотря на сцены раскаяния и слезные письма	['генерал', 'посылать', 'пенсия', 'вплоть', 'смерть', 'дом', 'пустить', 'несмотря', 'сцена', 'раскаяние', 'слёзный', 'письмо']	[0.1524598488587166, 0.22538162080802493, 0.25046745378002333, 0.25046745378002333, 0.14028251255219676, 0.1420482874746916, 0.25046745378002333, 0.18562151624805306, 0.25046745378002333, 0.25046745378002333, 0.25046745378002333, 0.12860095395511034]
247	248	Детей у них не было Против ожидания, вечер был так тих и тепел, что свечи на террасе и в столовой горели неподвижными огнями	['ребёнок', 'против', 'ожидание', 'вечер', 'тихнуть', 'тёплый', 'свеча', 'терраса', 'столовая', 'гореть', 'неподвижный', 'огонь']	[0.1549567841401702, 0.21070734922005147, 0.25046745378002333, 0.18562151624805306, 0.25046745378002333, 0.19221995341868847, 0.20029578783602647, 0.18562151624805306, 0.22538162080802493, 0.22538162080802493, 0.25046745378002333, 0.18562151624805306]
248	249	За обедом всех потешал князь Василий Львович	['обед', 'весь', 'потешать', 'князь', 'василий', 'львович']	[0.3504199097280561, 0.22702612814568215, 0.5009349075600467, 0.24784925091373214, 0.2708997006081124, 0.27398026822378124]
249	250	У него была необыкновенная и очень своеобразная способность рассказывать	['необыкновенный', 'очень', 'своеобразный', 'способность', 'рассказывать']	[0.6011218890720561, 0.29230828020200095, 0.6011218890720561, 0.6011218890720561, 0.4613278882048524]
250	251	Он брал в основу рассказа истинный эпизод, где главным действующим лицом являлся кто-нибудь из присутствующих или общих знакомых, но так сгущал краски и при этом говорил с таким серьезным лицом и таким деловым тоном, что слушатели надрывались от смеха	['лицо', 'брать', 'основа', 'рассказ', 'истинный', 'эпизод', 'главный', 'действовать', 'являться', 'кто-нибудь', 'присутствовать', 'общий', 'знакомый', 'сгущать', 'краска', 'говорить', 'серьёзный', 'деловой', 'тон', 'слушатель', 'надрываться', 'смех']	[0.150161377774561, 0.09684600847724509, 0.11759041085636084, 0.10028867134888093, 0.10993426915828773, 0.13067867153740348, 0.10993426915828773, 0.13067867153740348, 0.11759041085636084, 0.10450215017531816, 0.10450215017531816, 0.10993426915828773, 0.08918986677917198, 0.13067867153740348, 0.13067867153740348, 0.05965830390350843, 0.10993426915828773, 0.10993426915828773, 0.10028867134888093, 0.13067867153740348, 0.13067867153740348, 0.10993426915828773]
251	252	Сегодня он рассказывал о неудавшейся женитьбе Николая Николаевича на одной богатой и красивой даме	['сегодня', 'рассказывать', 'неудавшийся', 'женитьба', 'николай', 'николаевич', 'богатый', 'красивый', 'дама']	[0.2474953549974041, 0.25629327122491796, 0.33395660504003116, 0.33395660504003116, 0.16983202118229088, 0.15246010997563267, 0.28094313229340195, 0.2474953549974041, 0.2400568228162248]
252	253	В основе было только то, что муж дамы не хотел давать ей развода	['основа', 'муж', 'дама', 'хотеть', 'давать', 'развод']	[0.45076324161604986, 0.2878093074012419, 0.36008523422433725, 0.2840965749493832, 0.36008523422433725, 0.5009349075600467]
253	254	Но у князя правда чудесно переплелась с вымыслом	['князь', 'правда', 'чудесно', 'переплестись', 'вымысел']	[0.29741910109647857, 0.43210228106920473, 0.6011218890720561, 0.6011218890720561, 0.6011218890720561]
254	255	Серьезного, всегда несколько чопорного Николая он заставил ночью бежать по улице в одних чулках, с башмаками под мышкой	['серьёзный', 'несколько', 'чопорный', 'николай', 'заставить', 'ночью', 'бежать', 'улица', 'чулок', 'башмак', 'мышка']	[0.2298625627855107, 0.1751298363011505, 0.27323722230548003, 0.13895347187641982, 0.1964101277587294, 0.2185044958211198, 0.24587085906329992, 0.2185044958211198, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003]
255	256	Где-то на углу молодого человека задержал городовой, и только после длинного и бурного объяснения Николаю удалось доказать, что он товарищ прокурора, а не ночной грабитель	['где-то', 'угол', 'молодой', 'человек', 'задержать', 'городов', 'длинный', 'бурный', 'объяснение', 'николай', 'удаться', 'доказать', 'товарищ', 'прокурор', 'ночной', 'грабитель']	[0.15022184087701987, 0.15022184087701987, 0.13503196283412647, 0.09464048447037549, 0.18785059033501753, 0.18785059033501753, 0.1392161371860398, 0.1690362156060187, 0.1690362156060187, 0.09553051191503863, 0.1690362156060187, 0.18785059033501753, 0.13503196283412647, 0.14416496506401635, 0.1580305119150386, 0.18785059033501753]
256	257	Свадьба, по словам рассказчика, чуть-чуть было не состоялась, но в самую критическую минуту отчаянная банда лжесвидетелей, участвовавших в деле, вдруг забастовала, требуя прибавки к заработной плате	['свадьба', 'слово', 'рассказчик', 'чуть-чуть', 'состояться', 'самый', 'критический', 'минута', 'отчаянный', 'банда', 'лжесвидетель', 'участвовать', 'дело', 'забастовать', 'требовать', 'прибавка', 'заработный', 'плата']	[0.1502544138720166, 0.08836867207719236, 0.16697830252001558, 0.1502544138720166, 0.16697830252001558, 0.09593643580041397, 0.1502544138720166, 0.11142274696446001, 0.16697830252001558, 0.16697830252001558, 0.1502544138720166, 0.14047156614670098, 0.1016398992391444, 0.16697830252001558, 0.1502544138720166, 0.16697830252001558, 0.16697830252001558, 0.16697830252001558]
257	258	Николай из скупости (он и в самом деле был скуповат), а также будучи принципиальным противником стачек и забастовок, наотрез отказался платить лишнее, ссылаясь на определенную статью закона, подтвержденную мнением кассационного департамента	['николай', 'скупость', 'дело', 'скуповатый', 'также', 'принципиальный', 'противник', 'стачка', 'забастовка', 'наотрез', 'отказаться', 'платить', 'лишний', 'ссылаться', 'определённый', 'статья', 'закон', 'подтвердить', 'мнение', 'кассационный', 'департамент']	[0.07278515193526752, 0.14312425930287048, 0.08711991363355234, 0.14312425930287048, 0.09768413980575978, 0.14312425930287048, 0.14312425930287048, 0.14312425930287048, 0.14312425930287048, 0.14312425930287048, 0.12040419955431512, 0.12878949760458566, 0.11445473590630084, 0.14312425930287048, 0.12878949760458566, 0.14312425930287048, 0.11445473590630084, 0.14312425930287048, 0.14312425930287048, 0.14312425930287048, 0.14312425930287048]
258	259	Тогда рассерженные лжесвидетели на известный вопрос: «Не знает ли кто-нибудь из присутствующих поводов, препятствующих совершению брака	['рассердить', 'лжесвидетель', 'известный', 'вопрос', 'знать', 'кто-нибудь', 'присутствовать', 'повод', 'препятствовать', 'совершение', 'брак']	[0.27323722230548003, 0.24587085906329992, 0.24587085906329992, 0.24587085906329992, 0.11361223542616264, 0.2185044958211198, 0.2185044958211198, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003, 0.2298625627855107]
259	260	» — хором ответили: «Да, знаем	['хором', 'ответить', 'знать']	[1.0018698151200933, 0.6837889786403185, 0.4165781965625963]
260	261	Все показанное нами на суде под присягой — сплошная ложь, к которой нас принудил угрозами и насилием господин прокурор	['всё', 'показать', 'суд', 'присяга', 'сплошной', 'ложь', 'принудить', 'угроза', 'насилие', 'господин', 'прокурор']	[0.11225067579255783, 0.18232813139638912, 0.24587085906329992, 0.27323722230548003, 0.24587085906329992, 0.27323722230548003, 0.24587085906329992, 0.27323722230548003, 0.27323722230548003, 0.1751298363011505, 0.20969449463856923]
261	262	А про мужа этой дамы мы, как осведомленные лица, можем сказать только, что это самый почтенный человек на свете, целомудренный, как Иосиф, и ангельской доброты» Напав на нить брачных историй, князь Василий не пощадил и Густава Ивановича Фриессе, мужа Анны, рассказав, что он на другой день после свадьбы явился требовать при помощи полиции выселения новобрачной из родительского дома, как не имеющую отдельного паспорта, и водворения ее на место проживания законного мужа	['муж', 'дама', 'осведомить', 'лицо', 'мочь', 'сказать', 'самый', 'почтенный', 'человек', 'свет', 'целомудренный', 'иосиф', 'ангельский', 'доброта', 'напасть', 'нить', 'брачный', 'история', 'князь', 'василий', 'пощадить', 'густав', 'иванович', 'фриесс', 'анна', 'рассказать', 'день', 'свадьба', 'явиться', 'требовать', 'помощь', 'полиция', 'выселение', 'новобрачный', 'родительский', 'дом', 'иметь', 'отдельный', 'паспорт', 'водворение', 'место', 'проживание', 'законный']	[0.11512372296049676, 0.048011364563244965, 0.06679132100800624, 0.03837457432016559, 0.03247869780022233, 0.02578914234102275, 0.03837457432016559, 0.06010176554880665, 0.03364995003391129, 0.04364926133782346, 0.06010176554880665, 0.06679132100800624, 0.06679132100800624, 0.06010176554880665, 0.06679132100800624, 0.06679132100800624, 0.06679132100800624, 0.048011364563244965, 0.03304656678849762, 0.036119960081081655, 0.06679132100800624, 0.049499070999480824, 0.049499070999480824, 0.053412210089607066, 0.032758456184845006, 0.048011364563244965, 0.037408670013919135, 0.06010176554880665, 0.06679132100800624, 0.06010176554880665, 0.0561886264586804, 0.06679132100800624, 0.06679132100800624, 0.06679132100800624, 0.06010176554880665, 0.03787954332658443, 0.046722654630407486, 0.06679132100800624, 0.06679132100800624, 0.06679132100800624, 0.042037024290076525, 0.06679132100800624, 0.06010176554880665]
262	263	Верного в этом анекдоте было только то, что в первые дни замужней жизни Анна должна была безотлучно находиться около захворавшей матери, так как Вера спешно уехала к себе на юг, а бедный Густав Иванович предавался унынию и отчаянию Все смеялись	['верный', 'анекдот', 'первый', 'день', 'замужний', 'жизнь', 'анна', 'должный', 'безотлучный', 'находиться', 'около', 'захворать', 'мать', 'вера', 'спешно', 'уехать', 'юг', 'бедный', 'густав', 'иванович', 'предаваться', 'уныние', 'отчаяние', 'всё', 'смеяться']	[0.09614197816129272, 0.10818317798785197, 0.07001347761027897, 0.06733560602505445, 0.12022437781441121, 0.0657552643737075, 0.05896522113272101, 0.07318072745218397, 0.12022437781441121, 0.12022437781441121, 0.08205467743683822, 0.12022437781441121, 0.09226557764097047, 0.04284443976466851, 0.12022437781441121, 0.09614197816129272, 0.10818317798785197, 0.10113952762562471, 0.08909832779906549, 0.08909832779906549, 0.10818317798785197, 0.12022437781441121, 0.12022437781441121, 0.04939029734872545, 0.08642045621384094]
263	264	Улыбалась и Анна своими прищуренными глазами	['улыбаться', 'анна', 'свой', 'прищурить', 'глаз']	[0.4807098908064636, 0.29482610566360506, 0.25792122034509624, 0.5409158899392599, 0.3056976381281236]
264	265	Густав Иванович хохотал громко и восторженно, и его худое, гладко обтянутое блестящей кожей лицо, с прилизанными жидкими, светлыми волосами, с ввалившимися глазными орбитами, походило на череп, обнажавший в смехе прескверные зубы	['густав', 'иванович', 'хохотать', 'громко', 'восторженно', 'худой', 'гладко', 'обтянутый', 'блестящий', 'кожа', 'лицо', 'прилизать', 'жидкий', 'светлый', 'волос', 'ввалиться', 'глазной', 'орбита', 'походить', 'череп', 'обнажать', 'смех', 'прескверный', 'зуб']	[0.09281075812402653, 0.09281075812402653, 0.12523372689001167, 0.12523372689001167, 0.12523372689001167, 0.10535367461002573, 0.12523372689001167, 0.12523372689001167, 0.10535367461002573, 0.11269081040401246, 0.07195232685031047, 0.12523372689001167, 0.11269081040401246, 0.10014789391801324, 0.09610997670934424, 0.12523372689001167, 0.12523372689001167, 0.12523372689001167, 0.12523372689001167, 0.11269081040401246, 0.12523372689001167, 0.10535367461002573, 0.12523372689001167, 0.11269081040401246]
265	266	Он до сих пор обожал Анну, как и в первый день супружества, всегда старался сесть около нее, незаметно притронуться к ней и ухаживал за нею так влюбленно и самодовольно, что часто становилось за него и жалко и неловко Перед тем как вставать из-за стола, Вера Николаевна машинально пересчитала гостей	['сей', 'пора', 'обожать', 'анна', 'первый', 'день', 'супружество', 'стараться', 'сесть', 'около', 'незаметно', 'притронуться', 'ухаживать', 'влюблённо', 'самодовольно', 'часто', 'становиться', 'жалко', 'неловко', 'вставать', 'из-за', 'стол', 'вера', 'николаевич', 'машинально', 'пересчитать', 'гость']	[0.08543109040830599, 0.07597655318225761, 0.09364771076446732, 0.054597426974741674, 0.06482729408359164, 0.06234778335653189, 0.10016960924801108, 0.09364771076446732, 0.08001894093874161, 0.07597655318225761, 0.10016960924801108, 0.11131886834667705, 0.0890203501493451, 0.11131886834667705, 0.11131886834667705, 0.08543109040830599, 0.11131886834667705, 0.08543109040830599, 0.10016960924801108, 0.11131886834667705, 0.11131886834667705, 0.07006170715012754, 0.039670777559878245, 0.05082003665854422, 0.11131886834667705, 0.11131886834667705, 0.07787109105067913]
266	267	Оказалось — тринадцать	['оказаться', 'тринадцать']	[1.3522897248481496, 1.5028047226801402]
267	268	Она была суеверна и подумала про себя: «Вот это нехорошо	['суеверный', 'подумать', 'нехорошо']	[1.0018698151200933, 0.7008398194561122, 0.9015264832320997]
268	269	Как мне раньше не пришло в голову посчитать	['ранний', 'прийти', 'голова', 'посчитать']	[0.5766598602560654, 0.4816070498281639, 0.4503723656760889, 0.7514023613400701]
269	270	И Вася виноват — ничего не сказал по телефону» Когда у Шейных или у Фриессе собирались близкие знакомые, то после обеда обыкновенно играли в покер, так как обе сестры до смешного любили азартные игры	['вася', 'виноватый', 'сказать', 'телефон', 'шейный', 'фриесс', 'собираться', 'близкий', 'знакомый', 'обед', 'обыкновенно', 'играть', 'покер', 'оба', 'сестра', 'смешной', 'любить', 'азартный', 'игра']	[0.1106589188614914, 0.1106589188614914, 0.06107954764979072, 0.12140207584338218, 0.1581899708084358, 0.1265026028438062, 0.142346286826121, 0.142346286826121, 0.10796668083794503, 0.1106589188614914, 0.142346286826121, 0.1106589188614914, 0.1265026028438062, 0.10139095785856081, 0.0865200847022467, 0.1033798294843187, 0.0875361455020039, 0.142346286826121, 0.12140207584338218]
270	271	В обоих домах даже выработались на этот счет свои правила: всем играющим раздавались поровну костяные жетончики определенной цены, и игра длилась до тех пор, пока все костяшки не переходили в одни руки, — тогда игра на этот вечер прекращалась, как бы партнеры ни настаивали на продолжении	['игра', 'оба', 'дом', 'выработаться', 'счёт', 'свой', 'правило', 'весь', 'играть', 'раздаваться', 'поровну', 'костяной', 'жетончик', 'определённый', 'цена', 'длиться', 'пора', 'пока', 'всё', 'костяшка', 'переходить', 'рука', 'вечер', 'прекращаться', 'партнёр', 'настаивать', 'продолжение']	[0.16475996007316154, 0.06880100711830912, 0.06087783748915354, 0.10734319447715286, 0.10734319447715286, 0.046057360775910036, 0.08584105192972563, 0.048648456031217605, 0.07508998065601202, 0.09659212320343925, 0.10734319447715286, 0.10734319447715286, 0.10734319447715286, 0.09659212320343925, 0.10734319447715286, 0.10734319447715286, 0.07326310485431985, 0.08584105192972563, 0.044098479775647716, 0.10734319447715286, 0.08584105192972563, 0.05051945851192076, 0.07955207839202275, 0.10734319447715286, 0.10734319447715286, 0.09030314966573634, 0.09659212320343925]
271	272	Брать из кассы во второй раз жетоны строго запрещалось	['брать', 'касса', 'второй', 'жетон', 'строго', 'запрещаться']	[0.37124303249610613, 0.5009349075600467, 0.42141469844010293, 0.5009349075600467, 0.45076324161604986, 0.5009349075600467]
